# One tree's share of the secret-scan allow-list:
#
#     path | rule-id | sha256 fingerprint | reason
#
# The format, what an entry may say, and why this is a directory rather than a
# file are argued once in README.md beside this file. Do not restate them here.
#
# covers: deploy/


# Section 14.1's local development defaults.
#
# CLAUDE.md names this exception outright and argues it: the compose defaults
# are what make a first `docker compose up` work with no prior setup, and the
# environment variable in front of each is the seam that keeps them out of
# anything deployed. docs/secrets.md tabulates the same four.
#
# THE SEAM IS AGAINST DEPLOYING THE VALUE, NOT AGAINST WRITING IT DOWN, which
# is why these are entries here rather than a shape the patterns skip. Every
# site the local database default is written appears in this directory, and
# that is the useful half: rotating it is then a reconciliation these files
# enumerate, which is the one rule this repository has.
#
# Section 14.1's model is an index and one file per deployable unit, so a
# service's defaults are entries against that service's own path. Two
# services' entries still land in this one file: `covers:` names a tree, and
# `deploy/` is one tree.

deploy/compose/.env.example | env-assignment | 8a11e54d9d5b | Section 14.1's local database default, the override sample.
deploy/compose/.env.example | connection-string-password | 8a11e54d9d5b | The same default inside the commented per-service overrides.
deploy/compose/infrastructure.yml | credential-assignment | 8a11e54d9d5b | Section 14.1's local database default on the server container.
deploy/compose/services/catalog.yml | connection-string-password | 8a11e54d9d5b | The same default, nested inside Catalog's two connection defaults.
deploy/compose/services/catalog.yml | credential-assignment | 745769414f29 | Catalog's local connection default, in-cluster hostname.
deploy/compose/services/catalog.yml | credential-assignment | 67c0aed2aa92 | Section 14.1's broker default for Catalog, the per-service account that replaced guest.
deploy/compose/services/catalog.yml | credential-assignment | 12e48b0a29c6 | A Redis cache endpoint. Host and port only, no credential in it.
deploy/compose/services/catalog.yml | credential-assignment | 7dd6402e12f4 | A Redis coordination endpoint. Host and port only, no credential.
deploy/compose/services/ordering.yml | connection-string-password | 8a11e54d9d5b | The same default, nested inside Ordering's two connection defaults.
deploy/compose/services/ordering.yml | credential-assignment | 8bd08cbb66b8 | Ordering's local connection default, in-cluster hostname.
deploy/compose/services/ordering.yml | credential-assignment | 424e668d2839 | Section 14.1's broker default for Ordering, the per-service account that replaced guest.
deploy/compose/services/ordering.yml | credential-assignment | 12e48b0a29c6 | The cache endpoint again, on the service that reads it. Host and port only.
deploy/compose/services/ordering.yml | credential-assignment | 7dd6402e12f4 | The coordination endpoint again, same service. Host and port only.
deploy/compose/services/web-bff.yml | credential-assignment | eb26d4a9a0ef | Section 11.5's local BFF client default, behind its own variable.
deploy/compose/README.md | connection-string-password | 8a11e54d9d5b | The local database default in the run-outside-compose recipe.
deploy/compose/README.md | credential-assignment | 8ad59ba52156 | Catalog's local connection recipe against a published port.
deploy/compose/README.md | credential-assignment | b3c5e25d6d70 | Ordering's local connection recipe against a published port.
deploy/compose/rabbitmq/definitions.json | credential-assignment | e01bef045795 | The Catalog service account's password hash, Section 14.1's local default.
deploy/compose/rabbitmq/definitions.json | credential-assignment | 38580502670a | The Ordering service account's password hash, Section 14.1's local default.
deploy/compose/README.md | credential-assignment | aa8560d3ac1c | The host-run broker recipe against a published port, Ordering's service account.
deploy/compose/README.md | credential-assignment | c409f770497f | The host-run broker recipe for Catalog, its own service account.
deploy/compose/rabbitmq/test_check_permissions.py | credential-assignment | 3c8acf667613 | A placeholder in a gate mutation; no broker ever reads it.
deploy/compose/README.md | credential-assignment | eb26d4a9a0ef | Section 11.5's local BFF client default in the same recipe.
deploy/compose/README.md | connection-string-password | 2a97516c354b | Keycloak's demo user in the token-fetch recipe, realm-export seeded.
deploy/compose/keycloak/realm-export.json | credential-assignment | eb26d4a9a0ef | The realm export's copy of the same local BFF client default.
deploy/compose/keycloak/realm-export.json | credential-assignment | 96d649b3eeda | A Keycloak creation timestamp under a dotted attribute name.
